Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL1829264,574.75,2,6.32,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCNC(=O)OC(C)(C)C)C(=O)c1ccc(C)cc1,5
CHEMBL1213954,274.34,0,1.92,O=C1CCCC2=C1[C@H](c1cccc(O)c1)NC(=S)N2,5.7
CHEMBL409102,397.93,0,4.78,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,7.27
CHEMBL1688929,407.49,0,3.82,NC(CSC(c1ccccc1)(c1ccccc1)c1ccc(C(=O)O)cc1)C(=O)O,4.85
CHEMBL259256,343.49,0,4.27,CCCCC(SC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1,6.5
CHEMBL1829399,495.05,1,5.1,CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(Cl)cc1,7.3
CHEMBL1829432,489.65,0,4.46,CCC(c1nc2c(C)nsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,8.3
CHEMBL1829424,474.63,0,4.76,CCC(c1nc2sccc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,8.1
CHEMBL390629,316.3,0,2.99,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,7.75
CHEMBL3645249,617.69,2,5.17,CCN1C[C@@H](CN(C(=O)[C@@H]2CCCO2)[C@@H](c2nc(-c3cc(F)ccc3F)nn2Cc2cccc(F)c2)C(C)(C)OC)[C@@H](F)C1,7.31
CHEMBL3680851,529.6,2,5.06,C[C@H](O)C(=O)N(C[C@@H]1CNC[C@@H]1F)[C@H](c1nc(-c2cc(F)ccc2F)oc1Cc1ccccc1)C(C)(C)C,6
CHEMBL382165,355.38,0,3.7,O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,7.96
CHEMBL228689,348.49,0,4.03,CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2c1CCC2,5
CHEMBL1829426,509.08,2,5.41,CCC(c1nc2sc(Cl)cc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,7.07
CHEMBL244697,361.3,0,2.9,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)c([N+](=O)[O-])c2)cc1,7.55
CHEMBL389589,334.29,0,3.13,NS(=O)(=O)Nc1ccc(-c2ccc(C(F)(F)F)c(F)c2)cc1,7.82
CHEMBL397249,254.33,0,3.97,CC(C)c1ccc(-c2ccc(NC(N)=O)cc2)cc1,7.24
